date,place,total,pet,pe,pp,ps,other_plastics,other_waste,glass,shoes,shoes_quantity,bag_quantity,beach,details
2022-09-19T00:00:00Z,Beachwood Mangrove,51.6,7.1,10.1,7.2,11.5,1.7,3.7,NA,4,40,17,TRUE,Cleanup Saturday
2022-09-20T00:00:00Z,Beachwood Mangrove,87.2,7.5,7.9,16.7,22.9,1.9,5.9,9.8,7.4,70,19,TRUE,Cleanup Saturday
2022-09-27T00:00:00Z,Beachwood Mangrove,135.7,12.8,12.6,26.7,36.9,9,13,12.4,12.1,NA,30,TRUE,Orange Team
2022-09-30T00:00:00Z,Beachwood Mangrove,79.2,8.9,4.7,10,16.2,3.7,20.2,4.3,4.1,NA,20,TRUE,Orange Team
2022-10-03T00:00:00Z,Beachwood Mangrove,91.5,6.1,11.2,13.7,6.6,3.9,34.5,4.5,5.2,NA,20,TRUE,Orange Team
2022-10-06T00:00:00Z,Beachwood Mangrove,95.4,15.6,6.9,8.1,8.7,4.1,36.7,3.9,1.3,NA,21,TRUE,Orange Team
2022-10-11T00:00:00Z,Beachfront Mangrove,74.2,10.3,7.9,10.7,3.7,4.2,20.4,5.7,6,NA,20,TRUE,NA
2022-10-12T00:00:00Z,Beachfront Mangrove,116,17.1,6.7,6.3,0.5,2.8,68.3,0.9,5.5,NA,20,TRUE,NA
2022-10-18T00:00:00Z,Beachwood Mangrove,88.2,14.1,3.8,11.1,3.1,9.3,34.5,5.1,2,NA,25,TRUE,NA
2022-10-20T00:00:00Z,Beachfront Mangrove,115.9,17.7,23.7,6.5,0.9,4.1,54.5,0.4,5.1,NA,20,TRUE,NA
2022-10-25T00:00:00Z,Beachfront Mangrove,86.3,12.9,11.9,10,5.6,4.3,35.9,2.3,3.2,NA,20,TRUE,NA
NA,Beach Total,1021.2,130.1,107.4,127,116.6,49,327.6,49.3,55.9,110,232,TRUE,Beach Total
NA,Litterboom Beachwood Mangroves,557.2,256.5,224.6,NA,17.5,NA,59.4,NA,NA,NA,NA,FALSE,Litterboom
